institution	broad_subject_letters	N_in_broad	totalinst	subject_letters	N_in_subject	percent_in_category	percent_in_institution	subject
HUL	C	17042	1653063	CT	4807	0.28	0	Biography
HUL	T	32130	1653063	TP	1410	0.04	0	Chemical technology
HUL	Q	43216	1653063	QK	1558	0.04	0	Botany
HUL	J	58721	1653063	JS	3622	0.06	0	Local government. Municipal government
HUL	T	32130	1653063	TR	5241	0.16	0	Photography
HUL	G	43854	1653063	GT	4446	0.1	0	Manners and customs (General)
HUL	Q	43216	1653063	QC	6858	0.16	0	Physics
HUL	P	453051	1653063	PM	1537	0	0	Hyperborean, Native American, and artificial languages
HUL	U	12403	1653063	UD	154	0.01	0	Infantry
HUL	L	29549	1653063	LC	8250	0.28	0	Special aspects of education
HUL	Q	43216	1653063	QA	7934	0.18	0	Mathematics
HUL	J	58721	1653063	JA	2969	0.05	0	Political science (General)
HUL	T	32130	1653063	T	3044	0.09	0	Technology (General)
HUL	G	43854	1653063	GR	5296	0.12	0	Folklore
HUL	P	453051	1653063	PH	5766	0.01	0	Uralic languages. Basque language
HUL	H	220318	1653063	HG	9115	0.04	0.01	Finance
HUL	H	220318	1653063	HT	8163	0.04	0	Communities. Classes. Races
HUL	T	32130	1653063	TF	895	0.03	0	Railroad engineering and operation
HUL	K	146458	1653063	KE	25586	0.17	0.02	Canada
HUL	A	16181	1653063	AC	6590	0.41	0	Collections. Series. Collected works
HUL	B	131376	1653063	BL	10853	0.08	0.01	Religions. Mythology. Rationalism
HUL	B	131376	1653063	BP	7554	0.06	0	Islam. Bahaism. Theosophy, etc.
HUL	D	247607	1653063	DJ	1931	0.01	0	Netherlands (Holland)
HUL	H	220318	1653063	HS	1414	0.01	0	Societies: secret, benevolent, etc.
HUL	P	453051	1653063	PK	7806	0.02	0	Indo-Iranian languages and literatures
HUL	V	3714	1653063	VK	766	0.21	0	Navigation. Merchant marine
HUL	C	17042	1653063	CJ	1230	0.07	0	Numismatics
HUL	C	17042	1653063	CB	2121	0.12	0	History of Civilization
HUL	T	32130	1653063	TX	2870	0.09	0	Home economics
HUL	G	43854	1653063	GC	708	0.02	0	Oceanography
HUL	U	12403	1653063	UC	350	0.03	0	Military maintenance and transportation
HUL	Q	43216	1653063	QE	6563	0.15	0	Geology
HUL	P	453051	1653063	PS	37907	0.08	0.02	American literature
HUL	U	12403	1653063	UB	1265	0.1	0	Military administration
HUL	B	131376	1653063	BH	1313	0.01	0	Aesthetics
HUL	B	131376	1653063	BQ	4866	0.04	0	Buddhism
HUL	S	11303	1653063	SK	436	0.04	0	Hunting
HUL	T	32130	1653063	TJ	1405	0.04	0	Mechanical engineering and machinery
HUL	A	16181	1653063	AM	6701	0.41	0	Museums. Collectors and collecting
HUL	B	131376	1653063	BD	4524	0.03	0	Speculative philosophy
HUL	P	453051	1653063	PZ	5604	0.01	0	Fiction and juvenile belles lettres
HUL	H	220318	1653063	HA	1423	0.01	0	Statistics
HUL	T	32130	1653063	TE	138	0	0	Highway engineering. Roads and pavements
HUL	D	247607	1653063	DR	7122	0.03	0	Balkan Peninsula
HUL	G	43854	1653063	GB	1663	0.04	0	Physical geography
HUL	V	3714	1653063	VM	880	0.24	0	Naval architecture. Shipbuilding. Marine engineering
HUL	U	12403	1653063	U	2924	0.24	0	Military science (General)
HUL	D	247607	1653063	DH	1996	0.01	0	Low Countries, Benelux Countries
HUL	G	43854	1653063	GV	14949	0.34	0.01	Recreation. Leisure
HUL	K	146458	1653063	KD	44651	0.3	0.03	United Kingdom and Ireland
HUL	J	58721	1653063	JK	3226	0.05	0	Political institutions and public administration (United States)
HUL	S	11303	1653063	SH	1045	0.09	0	Aquaculture. Fisheries. Angling
HUL	V	3714	1653063	V	846	0.23	0	Naval science (General)
HUL	Q	43216	1653063	Q	5604	0.13	0	Science (General)
HUL	J	58721	1653063	JZ	4129	0.07	0	International relations
HUL	B	131376	1653063	BJ	4756	0.04	0	Ethics
HUL	J	58721	1653063	JF	2469	0.04	0	Political institutions and public administration
HUL	R	21379	1653063	RG	639	0.03	0	Gynecology and Obstetrics
HUL	T	32130	1653063	TN	2077	0.06	0	Mining engineering. Metallurgy
HUL	C	17042	1653063	CS	4270	0.25	0	Genealogy
HUL	N	48483	1653063	NC	2955	0.06	0	Drawing. Design. Illustration
HUL	R	21379	1653063	RB	211	0.01	0	Pathology
HUL	T	32130	1653063	TA	1371	0.04	0	Engineering Civil engineering (General).
HUL	G	43854	1653063	G	5889	0.13	0	Geography (General). Atlases. Maps
HUL	N	48483	1653063	ND	9947	0.21	0.01	Painting
HUL	K	146458	1653063	KG	7727	0.05	0	Latin America, Mexico and Central America, West Indies. Caribbean area
HUL	Q	43216	1653063	QD	2302	0.05	0	Chemistry
HUL	N	48483	1653063	NB	2459	0.05	0	Sculpture
HUL	T	32130	1653063	TD	3375	0.11	0	Environmental technology. Sanitary engineering
HUL	P	453051	1653063	PB	1573	0	0	Modern languages. Celtic languages and literature
HUL	L	29549	1653063	LE	625	0.02	0	Individual institutions - America (except United States)
HUL	Q	43216	1653063	QL	2344	0.05	0	Zoology
HUL	T	32130	1653063	TS	1244	0.04	0	Manufacturing engineering. Mass production
HUL	T	32130	1653063	TT	888	0.03	0	Handicrafts. Arts and crafts
HUL	T	32130	1653063	TK	2881	0.09	0	Electrical engineering. Electronics. Nuclear engineering
HUL	S	11303	1653063	SB	1897	0.17	0	Horticulture. Plant propagation. Plant breeding
HUL	L	29549	1653063	L	508	0.02	0	Education (General)
HUL	S	11303	1653063	S	5318	0.47	0	Agriculture (General)
HUL	M	23085	1653063	M	1160	0.05	0	Music
HUL	N	48483	1653063	NA	6453	0.13	0	Architecture
HUL	Q	43216	1653063	QR	306	0.01	0	Microbiology
HUL	U	12403	1653063	UG	2292	0.18	0	Military engineering. Air forces
HUL	A	16181	1653063	AZ	520	0.03	0	History of scholarship and learning. The humanities
HUL	S	11303	1653063	SF	1515	0.13	0	Animal husbandry. Animal science
HUL	T	32130	1653063	TC	974	0.03	0	Hydraulic engineering. Ocean engineering
HUL	Q	43216	1653063	QB	1752	0.04	0	Astronomy
HUL	L	29549	1653063	LD	578	0.02	0	Individual institutions - United States
HUL	G	43854	1653063	GA	493	0.01	0	Mathematical geography. Cartography
HUL	R	21379	1653063	RS	541	0.03	0	Pharmacy and materia medica
HUL	R	21379	1653063	RJ	843	0.04	0	Pediatrics
HUL	K	146458	1653063	KH	1801	0.01	0	South America
HUL	V	3714	1653063	VD	260	0.07	0	Naval seamen
HUL	C	17042	1653063	CN	500	0.03	0	Inscriptions. Epigraphy
HUL	N	48483	1653063	NK	4809	0.1	0	Decorative arts
HUL	R	21379	1653063	RM	527	0.02	0	Therapeutics. Pharmacology
HUL	U	12403	1653063	UH	260	0.02	0	Other military services
HUL	K	146458	1653063	KK	3244	0.02	0	Europe
