institution	broad_subject_letters	N_in_broad	totalinst	subject_letters	N_in_subject	percent_in_category	percent_in_institution	subject
CUL	B	210694	2268893	BP	21881	0.1	0.01	Islam. Bahaism. Theosophy, etc.
CUL	T	78343	2268893	TP	5385	0.07	0	Chemical technology
CUL	Q	126748	2268893	QK	4210	0.03	0	Botany
CUL	A	15949	2268893	AM	1187	0.07	0	Museums. Collectors and collecting
CUL	A	15949	2268893	AC	7814	0.49	0	Collections. Series. Collected works
CUL	T	78343	2268893	T	5792	0.07	0	Technology (General)
CUL	T	78343	2268893	TS	4217	0.05	0	Manufacturing engineering. Mass production
CUL	T	78343	2268893	TC	1973	0.03	0	Hydraulic engineering. Ocean engineering
CUL	N	154342	2268893	NK	15684	0.1	0.01	Decorative arts
CUL	L	36462	2268893	LA	9512	0.26	0	History of education
CUL	Q	126748	2268893	QE	12047	0.1	0.01	Geology
CUL	D	289497	2268893	DR	13280	0.05	0.01	Balkan Peninsula
CUL	K	11243	2268893	KZ	382	0.03	0	Law of nations
CUL	K	11243	2268893	KK	447	0.04	0	Europe
CUL	K	11243	2268893	KF	6051	0.54	0	United States
CUL	S	13813	2268893	SD	1238	0.09	0	Forestry. Arboriculture. Silviculture
CUL	G	51954	2268893	GE	1193	0.02	0	Environmental Sciences
CUL	J	56234	2268893	JV	2103	0.04	0	Colonies and colonization. Emigration and immigration. International migration
CUL	J	56234	2268893	JL	1971	0.04	0	Political institutions and public administration (Canada, Latin America, etc.)
CUL	D	289497	2268893	DD	8904	0.03	0	Germany
CUL	R	80051	2268893	RM	3763	0.05	0	Therapeutics. Pharmacology
CUL	D	289497	2268893	DA	9553	0.03	0	Great Britain
CUL	J	56234	2268893	JA	3023	0.05	0	Political science (General)
CUL	J	56234	2268893	JC	7506	0.13	0	Political theory
CUL	D	289497	2268893	DP	4430	0.02	0	Spain, Portugal
CUL	J	56234	2268893	JK	4891	0.09	0	Political institutions and public administration (United States)
CUL	D	289497	2268893	DL	729	0	0	Northern Europe. Scandinavia
CUL	N	154342	2268893	NX	3060	0.02	0	Arts in general
CUL	A	15949	2268893	AS	4841	0.3	0	Academies and learned societies
CUL	D	289497	2268893	DQ	646	0	0	Switzerland
CUL	D	289497	2268893	DU	2915	0.01	0	Oceania (South Seas)
CUL	P	579911	2268893	PE	3316	0.01	0	English language
CUL	B	210694	2268893	BD	5811	0.03	0	Speculative philosophy
CUL	B	210694	2268893	BV	11615	0.06	0.01	Practical Theology
CUL	G	51954	2268893	GR	7187	0.14	0	Folklore
CUL	K	11243	2268893	K	2238	0.2	0	Law in general. Comparative and uniform law. Jurisprudence
CUL	T	78343	2268893	TE	563	0.01	0	Highway engineering. Roads and pavements
CUL	V	3407	2268893	VM	739	0.22	0	Naval architecture. Shipbuilding. Marine engineering
CUL	K	11243	2268893	KD	610	0.05	0	United Kingdom and Ireland
CUL	G	51954	2268893	GN	11752	0.23	0.01	Anthropology
CUL	G	51954	2268893	GF	1405	0.03	0	Human ecology. Anthropogeography
CUL	L	36462	2268893	LB	10783	0.3	0	Theory and practice of education
CUL	V	3407	2268893	VA	754	0.22	0	Navies: Organization, distribution, naval situation
CUL	U	15335	2268893	UF	456	0.03	0	Artillery
CUL	T	78343	2268893	TA	12853	0.16	0.01	Engineering Civil engineering (General).
CUL	R	80051	2268893	RJ	4792	0.06	0	Pediatrics
CUL	C	17443	2268893	CS	2953	0.17	0	Genealogy
CUL	Q	126748	2268893	QM	1552	0.01	0	Human anatomy
CUL	Q	126748	2268893	QD	11526	0.09	0.01	Chemistry
CUL	L	36462	2268893	LD	4339	0.12	0	Individual institutions - United States
CUL	U	15335	2268893	UG	2232	0.15	0	Military engineering. Air forces
CUL	L	36462	2268893	LC	7513	0.21	0	Special aspects of education
CUL	T	78343	2268893	TT	1129	0.01	0	Handicrafts. Arts and crafts
CUL	M	72866	2268893	MT	3230	0.04	0	Instruction and study
CUL	R	80051	2268893	RA	13745	0.17	0.01	Public aspects of medicine
CUL	D	289497	2268893	DH	544	0	0	Low Countries, Benelux Countries
CUL	P	579911	2268893	PM	728	0	0	Hyperborean, Native American, and artificial languages
CUL	L	36462	2268893	LF	1695	0.05	0	Individual institutions - Europe
CUL	B	210694	2268893	BQ	11876	0.06	0.01	Buddhism
CUL	B	210694	2268893	BC	1531	0.01	0	Logic
CUL	B	210694	2268893	BH	1883	0.01	0	Aesthetics
CUL	S	13813	2268893	SK	517	0.04	0	Hunting
CUL	Z	52705	2268893	ZA	161	0	0	Information resources/materials
CUL	S	13813	2268893	SF	1302	0.09	0	Animal husbandry. Animal science
CUL	R	80051	2268893	RC	29895	0.37	0.01	Internal medicine
CUL	L	36462	2268893	LE	561	0.02	0	Individual institutions - America (except United States)
CUL	P	579911	2268893	PF	1214	0	0	West Germanic languages
CUL	G	51954	2268893	GC	1531	0.03	0	Oceanography
CUL	G	51954	2268893	GB	2843	0.05	0	Physical geography
CUL	J	56234	2268893	JZ	1742	0.03	0	International relations
CUL	T	78343	2268893	TF	833	0.01	0	Railroad engineering and operation
CUL	S	13813	2268893	S	5011	0.36	0	Agriculture (General)
CUL	A	15949	2268893	AZ	561	0.04	0	History of scholarship and learning. The humanities
CUL	T	78343	2268893	TH	3761	0.05	0	Building construction
CUL	C	17443	2268893	CC	1442	0.08	0	Archaeology
CUL	H	324644	2268893	HS	1102	0	0	Societies: secret, benevolent, etc.
CUL	C	17443	2268893	CJ	1565	0.09	0	Numismatics
CUL	G	51954	2268893	GA	709	0.01	0	Mathematical geography. Cartography
CUL	R	80051	2268893	RB	2256	0.03	0	Pathology
CUL	U	15335	2268893	UC	393	0.03	0	Military maintenance and transportation
CUL	J	56234	2268893	JS	3858	0.07	0	Local government. Municipal government
CUL	C	17443	2268893	CN	460	0.03	0	Inscriptions. Epigraphy
CUL	S	13813	2268893	SH	833	0.06	0	Aquaculture. Fisheries. Angling
CUL	K	11243	2268893	KH	32	0	0	South America
CUL	L	36462	2268893	L	936	0.03	0	Education (General)
CUL	L	36462	2268893	LG	1011	0.03	0	Individual institutions - Asia, Africa, Indian Ocean islands, Australia, New Zealand, Pacific islands
CUL	L	36462	2268893	LT	21	0	0	Textbooks
CUL	C	17443	2268893	CE	259	0.01	0	Technical Chronology. Calendar
CUL	A	15949	2268893	AG	198	0.01	0	Dictionaries and other general reference works
CUL	G	51954	2268893	GT	4182	0.08	0	Manners and customs (General)
CUL	R	80051	2268893	RD	5509	0.07	0	Surgery
CUL	R	80051	2268893	RG	2896	0.04	0	Gynecology and Obstetrics
CUL	R	80051	2268893	RK	1370	0.02	0	Dentistry
CUL	R	80051	2268893	RS	1223	0.02	0	Pharmacy and materia medica
CUL	R	80051	2268893	RT	2942	0.04	0	Nursing
CUL	A	15949	2268893	AP	798	0.05	0	Periodicals
CUL	P	579911	2268893	PD	611	0	0	Germanic languages. Scandinavian languages
CUL	T	78343	2268893	TX	2450	0.03	0	Home economics
CUL	D	289497	2268893	DX	303	0	0	History of the Romani people
CUL	C	17443	2268893	CR	729	0.04	0	Heraldry
CUL	K	11243	2268893	KBP	945	0.08	0	Islamic law
CUL	D	289497	2268893	DJK	512	0	0	Eastern Europe (General)
CUL	T	78343	2268893	TG	768	0.01	0	Bridges
CUL	D	289497	2268893	DE	464	0	0	Greco-Roman World
CUL	D	289497	2268893	DJ	786	0	0	Netherlands (Holland)
CUL	Q	126748	2268893	QR	3733	0.03	0	Microbiology
CUL	J	56234	2268893	J	596	0.01	0	General legislative and executive papers
CUL	V	3407	2268893	V	820	0.24	0	Naval science (General)
CUL	V	3407	2268893	VK	695	0.2	0	Navigation. Merchant marine
CUL	U	15335	2268893	UH	250	0.02	0	Other military services
CUL	K	11243	2268893	KE	157	0.01	0	Canada
CUL	V	3407	2268893	VB	118	0.03	0	Naval administration
CUL	V	3407	2268893	VE	67	0.02	0	Marines
CUL	L	36462	2268893	LJ	41	0	0	Student fraternities and societies, United States
CUL	L	36462	2268893	LH	50	0	0	College and school magazines and papers
CUL	A	15949	2268893	AN	40	0	0	Newspapers
CUL	R	80051	2268893	RE	1227	0.02	0	Ophthalmology
CUL	R	80051	2268893	RL	635	0.01	0	Dermatology
CUL	R	80051	2268893	RF	819	0.01	0	Otorhinolaryngology
CUL	R	80051	2268893	RZ	108	0	0	Other systems of medicine
CUL	U	15335	2268893	UE	80	0.01	0	Cavalry. Armor
CUL	K	11243	2268893	KJ	41	0	0	Europe
CUL	A	15949	2268893	AY	168	0.01	0	Yearbooks. Almanacs. Directories
CUL	V	3407	2268893	VF	33	0.01	0	Naval ordnance
CUL	A	15949	2268893	AE	223	0.01	0	Encyclopedias
CUL	R	80051	2268893	RX	35	0	0	Homeopathy
CUL	K	11243	2268893	KBM	45	0	0	Jewish law
CUL	U	15335	2268893	UD	87	0.01	0	Infantry
CUL	K	11243	2268893	KBR	29	0	0	History of canon law
CUL	V	3407	2268893	VG	143	0.04	0	Minor services of navies
CUL	K	11243	2268893	KDZ	44	0	0	America. North America
CUL	K	11243	2268893	KG	114	0.01	0	Latin America, Mexico and Central America, West Indies. Caribbean area
CUL	A	15949	2268893	AI	119	0.01	0	Indexes
CUL	D	289497	2268893	DAW	65	0	0	Central Europe
CUL	K	11243	2268893	KBU	13	0	0	Law of the Roman Catholic Church. The Holy See
CUL	V	3407	2268893	VC	37	0.01	0	Naval maintenance
CUL	K	11243	2268893	KB	18	0	0	Religious law in general. Comparative religious law. Jurisprudence
CUL	K	11243	2268893	KU	36	0	0	Law of Australia and New Zealand
CUL	K	11243	2268893	KL	37	0	0	Asia and Eurasia, Africa, Pacific Area, and Antarctica
CUL	K	11243	2268893	KBS	2	0	0	Canon law of Eastern churches
CUL	R	80051	2268893	RV	4	0	0	Botanic, Thomsonian, and Eclectic medicine
CUL	K	11243	2268893	KBT	2	0	0	Canon law of Eastern Rite Churches in Communion with the Holy See of Rome
CUL	V	3407	2268893	VD	1	0	0	Naval seamen
CUL	J	56234	2268893	JJ	1	0	0	Political institutions and public administration (North America)
PUL	H	197369	1267893	HC	24302	0.12	0.02	Economic history and conditions
PUL	H	197369	1267893	HD	59705	0.3	0.05	Industries. Land use. Labor
PUL	P	305015	1267893	PS	27093	0.09	0.02	American literature
PUL	M	21222	1267893	MT	1206	0.06	0	Instruction and study
PUL	P	305015	1267893	PG	32712	0.11	0.03	Slavic languages and literatures. Baltic languages. Albanian language
PUL	B	128274	1267893	BL	9925	0.08	0.01	Religions. Mythology. Rationalism
PUL	G	38789	1267893	G	5790	0.15	0	Geography (General). Atlases. Maps
PUL	L	32458	1267893	LA	8060	0.25	0.01	History of education
PUL	D	186573	1267893	DS	67684	0.36	0.05	Asia
PUL	P	305015	1267893	PN	31938	0.1	0.03	Literature (General)
PUL	P	305015	1267893	PA	10214	0.03	0.01	Greek language and literature. Latin language and literature
PUL	E	19502	1267893	E	19502	1	0.02	American History
PUL	R	22209	1267893	RA	6825	0.31	0.01	Public aspects of medicine
PUL	Q	69304	1267893	QH	6729	0.1	0.01	Natural history. Biology
PUL	Q	69304	1267893	QP	4789	0.07	0	Physiology
PUL	B	128274	1267893	BF	9997	0.08	0.01	Psychology
PUL	N	21517	1267893	NC	847	0.04	0	Drawing. Design. Illustration
PUL	P	305015	1267893	PQ	55413	0.18	0.04	French, Italian, Spanish, and Portuguese literature
PUL	B	128274	1267893	BX	19629	0.15	0.02	Christian Denominations
PUL	C	14898	1267893	CT	4481	0.3	0	Biography
PUL	M	21222	1267893	M	7071	0.33	0.01	Music
PUL	H	197369	1267893	HF	11665	0.06	0.01	Commerce
PUL	V	3034	1267893	VK	618	0.2	0	Navigation. Merchant marine
PUL	D	186573	1267893	DR	11947	0.06	0.01	Balkan Peninsula
PUL	T	36929	1267893	TR	1213	0.03	0	Photography
PUL	B	128274	1267893	B	16641	0.13	0.01	Philosophy (General)
PUL	H	197369	1267893	HE	7008	0.04	0.01	Transportation and communications
PUL	Q	69304	1267893	QD	9416	0.14	0.01	Chemistry
PUL	D	186573	1267893	DC	11623	0.06	0.01	France, Andorra, Monaco
PUL	G	38789	1267893	GV	11786	0.3	0.01	Recreation. Leisure
PUL	Q	69304	1267893	QA	14172	0.2	0.01	Mathematics
PUL	P	305015	1267893	P	11415	0.04	0.01	Philology. Linguistics
PUL	J	52212	1267893	JC	7111	0.14	0.01	Political theory
PUL	P	305015	1267893	PZ	21493	0.07	0.02	Fiction and juvenile belles lettres
PUL	P	305015	1267893	PR	21482	0.07	0.02	English literature
PUL	P	305015	1267893	PT	19060	0.06	0.02	German, Dutch, Flemish since 1830, Afrikaans, Scandinavian, Old Norse: Old Icelandic and Old Norwegian, Modern Icelandic, Faroese, Danish, Norwegian, and Swedish Literature
PUL	R	22209	1267893	R	4296	0.19	0	Medicine (General)
